المؤشر,2023,2024,2025
الاحتياطيات الأجنبية (مليار دولار),111.73615384615384,100.26692307692308,97.43153846153847
الاحتياطيات الأجنبية (مليار دينار),145257.0,130347.0,126661.0
الذهب (مليار دينار),12293.0,17834.0,31488.0
التضخم %,4.0,2.6,0.3
التضخم الأساس %,4.5,2.8,0.2
سعر الصرف (دينار/دولار),1316.0,1300.0,1300.0
M0 الأساس النقدي (مليار دينار),165156.0,142320.0,132080.91843716134
M1 (مليار دينار),160318.0,152906.0,147930.2860297509
M2 (مليار دينار),180976.0,174023.11396875,167281.5500297509
الصادرات السلعية (مليون دولار),99147.0,100989.9,
الواردات السلعية (مليون دولار),55953.0,74298.5,
